time-stamp,java-file,seed,smt-result,error-message,smt-time,total-time
2026-04-15 09:12:23.18645861 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test13.java,0,Unsat,,0.032319504s,0.094178398s
2026-04-15 09:12:28.162803656 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test4.java,0,Unsat,,0.03075075s,0.24921029s
2026-04-15 09:12:33.444491957 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test1.java,0,Unsat,,0.05040395s,0.486588657s
2026-04-15 09:12:38.845769635 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test6.java,0,Unsat,,0.029326985s,0.179569351s
2026-04-15 09:12:44.109392003 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test2.java,0,Unsat,,0.027748484s,0.08656984s
2026-04-15 09:12:49.231112566 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test10.java,0,Unsat,,0.022538965s,0.078294776s
2026-04-15 09:12:54.445547334 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test9.java,0,Unsat,,0.057660636s,0.179255702s
2026-04-15 09:12:59.575058546 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test12.java,0,Unsat,,0.297379403s,0.620513539s
2026-04-15 09:13:05.285409039 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test16.java,0,Unsat,,0.035163753s,0.374624168s
2026-04-15 09:13:10.821823917 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test11.java,0,Unsat,,0.044723126s,0.139738804s
2026-04-15 09:13:15.861665607 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test7.java,0,Unsat,,0.270401847s,0.78061511s
2026-04-15 09:13:21.695551903 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test8.java,0,Unsat,,0.022417087s,0.071088081s
2026-04-15 09:13:26.841671496 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test20.java,0,Unsat,,0.023514577s,0.050174271s
2026-04-15 09:13:31.667506614 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test18.java,0,Unsat,,0.031536425s,0.406618709s
2026-04-15 09:13:37.239315591 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test14.java,0,Unsat,,0.027918508s,0.256177846s
2026-04-15 09:13:42.772004787 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test17.java,0,Unsat,,0.024931391s,0.107358427s
2026-04-15 09:13:47.96186867 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test19.java,0,Unsat,,0.023353435s,0.169624479s
2026-04-15 09:13:53.09734162 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test5.java,0,Unsat,,0.030493158s,0.270554158s
2026-04-15 09:13:58.317241094 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test3.java,0,Unsat,,0.063345802s,0.211152416s
2026-04-15 09:14:03.63085965 UTC,/home/herdi/work/c2-translation-validation/ons-15-apr-2026-06:16:19-CEST/Test15.java,0,Unsat,,0.023614971s,0.050080267s
