time-stamp,java-file,seed,smt-result,error-message,smt-time,total-time,data-nodes,ctrl-nodes,mem-nodes
2026-05-26 15:19:37.573976388 UTC,Test1.java,16358003141608228998,Unsat,,0.014024008s,0.053436087s,20,4,2
2026-05-26 15:19:42.450607029 UTC,Test2.java,17999146230214058569,Unsat,,0.028332286s,0.287445285s,115,37,2
2026-05-26 15:19:48.09873467 UTC,Test3.java,1387532318936681935,Unsat,,0.02672255s,0.130321851s,92,12,2
2026-05-26 15:19:53.367411936 UTC,Test4.java,10156018858727696009,Unsat,,0.025943122s,0.15028576s,127,20,2
2026-05-26 15:19:58.650458189 UTC,Test5.java,3288048201386316938,Unsat,,0.018354653s,0.103338928s,62,20,16
2026-05-26 15:20:03.515338085 UTC,Test6.java,1259829552871369089,Unknown,timeout,50.178922875s,50.276270186s,86,12,2
2026-05-26 15:20:58.659263085 UTC,Test7.java,14931945357521112173,Unsat,,0.017294172s,0.072481032s,55,12,9
2026-05-26 15:21:03.382249942 UTC,Test8.java,9443121118010042553,Unknown,timeout,45.961227315s,46.106088471s,121,20,4
2026-05-26 15:21:54.643138958 UTC,Test9.java,13614813723637962914,Unsat,,0.022004312s,0.078755548s,80,4,2
2026-05-26 15:21:59.601666664 UTC,Test10.java,5792564244837659728,Unsat,,0.022106257s,0.145906729s,93,12,2
2026-05-26 15:22:05.075790623 UTC,Test11.java,4161457541411187077,Unsat,,0.02589674s,0.111000942s,79,12,4
2026-05-26 15:22:10.801768429 UTC,Test12.java,2137543911428177241,Unsat,,0.034675977s,0.176620307s,127,41,15
2026-05-26 15:22:16.133897647 UTC,Test13.java,12569128290294588235,Unsat,,0.01990579s,0.231879656s,64,20,5
2026-05-26 15:22:22.183958786 UTC,Test14.java,8399144513980914578,Unsat,,0.016239639s,0.116624198s,22,12,2
2026-05-26 15:22:28.098876443 UTC,Test15.java,5450801966949652478,Unsat,,0.029767235s,0.211250672s,139,28,4
2026-05-26 15:22:33.843408267 UTC,Test16.java,1673443960376519863,Unsat,,0.027831448s,0.258812573s,153,60,13
2026-05-26 15:22:39.604640619 UTC,Test17.java,4495271629911531518,Unsat,,0.022375265s,0.13613404s,95,20,4
2026-05-26 15:22:45.093260458 UTC,Test18.java,15361871843608420736,Unsat,,0.027616296s,0.246855107s,143,36,4
2026-05-26 15:22:50.690253961 UTC,Test19.java,17269783823862995506,Unknown,timeout,45.619512915s,45.690545646s,50,12,2
2026-05-26 15:23:41.404082054 UTC,Test20.java,15266156114227330055,Unsat,,0.016822378s,0.066995586s,44,9,2
2026-05-26 15:23:46.563236445 UTC,Test21.java,11295289070563977467,Unsat,,0.030036771s,0.283236444s,168,80,12
2026-05-26 15:23:52.315402238 UTC,Test22.java,13693548457175582248,Unsat,,0.019193194s,0.093883758s,69,12,2
2026-05-26 15:23:57.894650975 UTC,Test23.java,12303742581705571932,Unknown,timeout,45.041378141s,45.077383154s,33,4,2
